Username,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Risk,Loyalty_Segment,Risk_Code,Loyalty_Code
----------------,37,3,31,1,2,1,121,4,Green,Casual Players,1,0
--dilib--,38,8,1686,1,3,3,133,7,Amber,Casual Players,2,0
-31337-,1,4,130,4,3,2,432,9,Green,Casual Players,1,0
-Nothing-,5,65,20987,4,4,4,444,12,Green,VIP,1,3
-Tachyon,39,5,5124,1,3,3,133,7,Amber,Casual Players,2,0
-Y-,41,2,32,1,2,1,121,4,Green,Casual Players,1,0
-ZYBERPH-,23,1,1000,2,1,3,213,6,Green,Casual Players,1,0
-_-TUYUL-_-,5,5,152,4,3,2,432,9,Green,Casual Players,1,0
-__---,2,24,522617,4,4,4,444,12,Green,VIP,1,3
-i_,37,2,6,1,2,1,121,4,Green,Casual Players,1,0
-mdK,3,1,5000,4,1,3,413,8,Green,New,1,1
-t-,1,27,5720,4,4,4,444,12,Green,VIP,1,3
-tuyul-,5,23,529,4,4,2,442,10,Green,Loyal Customers,1,2
-xAx-,11,7,92,3,3,1,331,7,Green,Casual Players,1,0
0-----_-----0,33,4,9000,1,3,4,134,8,Amber,Casual Players,2,0
010101,4,3,60461,4,2,4,424,10,Green,New,1,1
01010100b,28,44,397,2,4,2,242,8,Green,Casual Players,1,0
015ka,2,6,1600,4,3,3,433,10,Green,Casual Players,1,0
01Nov,38,1,220,1,1,2,112,4,Green,Casual Players,1,0
03K75,16,3,3500,2,2,3,223,7,Green,Casual Players,1,0
0on97,6,9,44000,3,3,4,334,10,Amber,Casual Players,2,0
0x0,11,4,403,3,3,2,332,8,Green,Casual Players,1,0
0x22B,31,1,250,1,1,2,112,4,Green,Casual Players,1,0
1000yen,1,10,28,4,3,1,431,8,Green,Casual Players,1,0
1017738,9,3,9032,3,2,4,324,9,Green,Casual Players,1,0
1017FickSquad,27,3,390,2,2,2,222,6,Green,Casual Players,1,0
10__________10,8,1,600,3,1,2,312,6,Green,Casual Players,1,0
11-1,22,2,23,2,2,1,221,5,Green,Casual Players,1,0
1213141516171819,13,2,11,3,2,1,321,6,Green,Casual Players,1,0
1225,3,137,145771,4,4,4,444,12,Green,VIP,1,3
12T,32,2,958,1,2,3,123,6,Green,Casual Players,1,0
12alexei12,14,14,102,3,4,2,342,9,Green,Loyal Customers,1,2
136,25,1,200,2,1,2,212,5,Green,Casual Players,1,0
1981hyunjun,1,3,500,4,2,2,422,8,Green,New,1,1
19Sebastian,22,1,30,2,1,1,211,4,Green,Casual Players,1,0
1Chance,17,3,30500,2,2,4,224,8,Green,Casual Players,1,0
1basicperson,7,2,5500,3,2,4,324,9,Green,Casual Players,1,0
1mbitdream,22,1,32503,2,1,4,214,7,Green,Casual Players,1,0
1ozweed,4,6,8700,4,3,4,434,11,Green,Casual Players,1,0
207Clark,26,12,298,2,4,2,242,8,Green,Casual Players,1,0
20bn,15,1,2500,3,1,3,313,7,Green,Casual Players,1,0
224455,34,4,294,1,3,2,132,6,Green,Casual Players,1,0
2273,14,1,5,3,1,1,311,5,Green,Casual Players,1,0
2340,33,1,200,1,1,2,112,4,Green,Casual Players,1,0
25redswin,40,3,10,1,2,1,121,4,Green,Casual Players,1,0
27smouc27,34,1,100,1,1,1,111,3,Green,Casual Players,1,0
28Anton,19,3,6,2,2,1,221,5,Green,Casual Players,1,0
28UG,2,2,31000,4,2,4,424,10,Green,New,1,1
2n6n8n8,36,2,111014,1,2,4,124,7,Green,Casual Players,1,0
300Goal,18,5,8255,2,3,4,234,9,Amber,Casual Players,2,0
3777,19,2,36,2,2,1,221,5,Green,Casual Players,1,0
41945897,4,10,13929,4,3,4,434,11,Green,Casual Players,1,0
44jew,26,1,750,2,1,2,212,5,Green,Casual Players,1,0
4_2_0,5,6,2609,4,3,3,433,10,Green,Casual Players,1,0
4eldobrek,9,5,20,3,3,1,331,7,Green,Casual Players,1,0
4fIGHty,1,83,602705,4,4,4,444,12,Green,VIP,1,3
4head,3,2,5400,4,2,3,423,9,Green,New,1,1
4loko,9,1,1300,3,1,3,313,7,Green,Casual Players,1,0
4uvak_Eto_Rep4ik,1,1,6000,4,1,4,414,9,Green,New,1,1
5tupid8ot,36,1,85,1,1,1,111,3,Green,Casual Players,1,0
7013145,17,3,29,2,2,1,221,5,Green,Casual Players,1,0
741741,27,1,4,2,1,1,211,4,Green,Casual Players,1,0
7773,36,2,8500,1,2,4,124,7,Green,Casual Players,1,0
777DiM4Ik777,9,4,1038,3,3,3,333,9,Amber,Casual Players,2,0
